Column Name,Description
User_ID,Unique identifier for each user
Age,User's age in years
Gender,User's gender identity
Location,City or region where the user is based
Education,User's highest level of education
Occupation,Current employment status
Primary_App,Main dating app used
Secondary_Apps,Other dating apps the user uses
Usage_Frequency,How often the user engages with dating apps
Daily_Usage_Time,Time spent daily on dating apps
Reason_for_Using,User's reason for using dating apps
Satisfaction,User's satisfaction level (scale of 1-5)
Challenges,Issues faced while using dating apps
Desired_Features,Features users want in dating apps
Preferred_Communication,Preferred mode of communication
Partner_Priorities,Key traits users look for in a partner
