User_ID,Age,Education,Occupation,Secondary_Apps,Usage_Frequency,Daily_Usage_Time,Satisfaction,Challenges,Desired_Features,Preferred_Communication,Partner_Priorities,Gender_male,Gender_non-binary,Primary_App_Hinge,Primary_App_OkCupid,Primary_App_Tinder,Primary_App_Unknown,Location_Chennai,Location_Delhi,Location_Hyderabad,Location_Kolkata,Location_Mumbai,Location_Pune,Reason_for_Using_Casual Fun,Reason_for_Using_Finding a Partner,Reason_for_Using_Social Interaction,Active_App_Count
1,0.2857142857142856,Undergraduate,Freelancer,Hinge,Monthly,0.2,4,Safety Concerns,Audio Calls,Video Calls,Values > Personality > Appearance,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,1
2,0.8571428571428572,Undergraduate,Part-time Job,OkCupid,Weekly,0.0,5,Time-Wasting,Video Calls,Text,Values > Personality > Appearance,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,1
3,0.8571428571428572,Undergraduate,Intern,Unknown,Weekly,0.6000000000000001,4,Safety Concerns,Detailed Profiles,Text,Values > Personality > Appearance,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,1
4,0.5714285714285716,Graduate,Full-time Job,OkCupid,Daily,0.0,3,Unknown,AI Recommendations,Voice Notes,Personality > Interests > Values,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,1
5,0.0,Graduate,Intern,OkCupid,Weekly,0.6000000000000001,4,Safety Concerns,Video Calls,Text,Appearance > Interests > Personality,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,1
6,0.7142857142857144,Undergraduate,Student,Unknown,Daily,0.2,2,Unknown,Audio Calls,Video Calls,Values > Personality > Appearance,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,1
7,0.5714285714285716,Postgraduate,Part-time Job,Tinder,Monthly,0.0,4,Time-Wasting,Audio Calls,Text,Personality > Interests > Values,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,1
8,0.4285714285714288,Postgraduate,Freelancer,Tinder,Weekly,0.2,2,Safety Concerns,Audio Calls,Video Calls,Values > Personality > Appearance,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,1
9,0.2857142857142856,Postgraduate,Part-time Job,OkCupid,Daily,0.6000000000000001,1,Lack of Genuine Matches,Audio Calls,Text,Values > Personality > Appearance,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,1
10,0.2857142857142856,Undergraduate,Intern,Bumble,Weekly,1.0000000000000002,1,Safety Concerns,Location-Based Matching,Video Calls,Values > Personality > Appearance,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,1
11,0.0,Postgraduate,Full-time Job,Hinge,Daily,0.2,1,Unknown,Location-Based Matching,Voice Notes,Appearance > Interests > Personality,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,1
12,0.4285714285714288,Undergraduate,Part-time Job,Unknown,Monthly,1.0000000000000002,1,Unknown,Audio Calls,Voice Notes,Appearance > Interests > Personality,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,1
13,0.5714285714285716,Undergraduate,Student,OkCupid,Monthly,0.2,3,Time-Wasting,Video Calls,Video Calls,Personality > Interests > Values,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
14,0.1428571428571428,Undergraduate,Student,Bumble,Daily,0.6000000000000001,1,Unknown,AI Recommendations,Voice Notes,Personality > Interests > Values,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,1
15,0.5714285714285716,Graduate,Intern,Unknown,Daily,0.2,1,Lack of Genuine Matches,Audio Calls,Voice Notes,Appearance > Interests > Personality,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,1
16,0.1428571428571428,Undergraduate,Freelancer,OkCupid,Daily,0.2,5,Time-Wasting,Detailed Profiles,Text,Appearance > Interests > Personality,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
17,0.5714285714285716,Graduate,Part-time Job,Tinder,Monthly,0.2,3,Lack of Genuine Matches,Location-Based Matching,Video Calls,Values > Personality > Appearance,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,1
18,0.1428571428571428,Graduate,Student,OkCupid,Monthly,0.2,3,Safety Concerns,Detailed Profiles,Text,Personality > Interests > Values,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,1
19,0.8571428571428572,Graduate,Intern,Hinge,Daily,0.0,2,Lack of Genuine Matches,AI Recommendations,Video Calls,Personality > Interests > Values,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,1
20,0.5714285714285716,Undergraduate,Student,Hinge,Weekly,0.2,1,Time-Wasting,Video Calls,Voice Notes,Appearance > Interests > Personality,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,1
21,0.5714285714285716,Postgraduate,Freelancer,Bumble,Weekly,1.0000000000000002,1,Safety Concerns,AI Recommendations,Video Calls,Values > Personality > Appearance,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,1
22,1.0,Undergraduate,Intern,Unknown,Weekly,1.0000000000000002,5,Lack of Genuine Matches,AI Recommendations,Text,Appearance > Interests > Personality,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,1
23,0.2857142857142856,Graduate,Full-time Job,OkCupid,Daily,1.0000000000000002,4,Safety Concerns,Audio Calls,Video Calls,Appearance > Interests > Personality,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,1
24,0.0,Graduate,Freelancer,Bumble,Weekly,0.6000000000000001,5,Time-Wasting,Detailed Profiles,Text,Appearance > Interests > Personality,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,1
25,0.8571428571428572,Postgraduate,Full-time Job,Tinder,Daily,0.6000000000000001,3,Time-Wasting,Location-Based Matching,Text,Values > Personality > Appearance,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,1
26,0.8571428571428572,Graduate,Full-time Job,OkCupid,Weekly,1.0000000000000002,2,Lack of Genuine Matches,Detailed Profiles,Voice Notes,Values > Personality > Appearance,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,1
27,0.4285714285714288,Undergraduate,Student,Tinder,Weekly,1.0000000000000002,5,Lack of Genuine Matches,Location-Based Matching,Video Calls,Appearance > Interests > Personality,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1
28,0.7142857142857144,Undergraduate,Part-time Job,Unknown,Weekly,0.6000000000000001,1,Time-Wasting,Location-Based Matching,Voice Notes,Appearance > Interests > Personality,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,1
29,0.1428571428571428,Undergraduate,Student,OkCupid,Weekly,1.0000000000000002,4,Lack of Genuine Matches,Detailed Profiles,Video Calls,Appearance > Interests > Personality,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,1
30,0.0,Undergraduate,Freelancer,Tinder,Daily,1.0000000000000002,4,Unknown,Location-Based Matching,Voice Notes,Personality > Interests > Values,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,1
31,0.8571428571428572,Graduate,Full-time Job,OkCupid,Weekly,0.0,5,Unknown,Audio Calls,Voice Notes,Personality > Interests > Values,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,1
32,0.2857142857142856,Graduate,Full-time Job,OkCupid,Monthly,0.2,3,Time-Wasting,Detailed Profiles,Voice Notes,Values > Personality > Appearance,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,1
33,0.8571428571428572,Graduate,Part-time Job,OkCupid,Weekly,0.0,3,Time-Wasting,Detailed Profiles,Text,Personality > Interests > Values,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,1
34,1.0,Graduate,Full-time Job,Hinge,Weekly,1.0000000000000002,5,Time-Wasting,Location-Based Matching,Voice Notes,Appearance > Interests > Personality,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,1
35,0.4285714285714288,Graduate,Full-time Job,OkCupid,Daily,0.6000000000000001,3,Safety Concerns,Audio Calls,Voice Notes,Values > Personality > Appearance,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1
36,0.5714285714285716,Postgraduate,Part-time Job,Hinge,Monthly,0.0,3,Lack of Genuine Matches,AI Recommendations,Text,Appearance > Interests > Personality,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,1
37,0.5714285714285716,Undergraduate,Intern,Unknown,Monthly,0.2,3,Safety Concerns,Video Calls,Voice Notes,Personality > Interests > Values,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,1
38,0.2857142857142856,Undergraduate,Full-time Job,Tinder,Daily,0.2,1,Lack of Genuine Matches,Audio Calls,Voice Notes,Appearance > Interests > Personality,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,1
39,0.4285714285714288,Postgraduate,Full-time Job,Tinder,Daily,0.2,1,Safety Concerns,Location-Based Matching,Voice Notes,Personality > Interests > Values,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,1
40,0.0,Graduate,Intern,Bumble,Weekly,0.2,5,Unknown,Audio Calls,Video Calls,Appearance > Interests > Personality,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,1
41,0.8571428571428572,Undergraduate,Student,Tinder,Daily,0.2,3,Time-Wasting,Video Calls,Video Calls,Values > Personality > Appearance,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
